Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,#pixels,%pixels
1,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,220420a.13m.asd                 No-OAR,0,19,56,0,0
2,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,220420a.15m.asd                 No-OAR,0,19,57,0,0
3,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,220420a.16m.asd                 No-OAR,0,19,58,0,0
4,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,220420b.20m.asd                 No-OAR,0,19,59,0,0
5,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,220420b.20m.asd                 No-OAR,0,19,60,0,0
6,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,220420b.24m.asd                 No-OAR,0,19,61,0,0
7,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,220420b.28m.asd                 No-OAR,0,19,62,0,0
8,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,220420b.28m.asd                 No-OAR,0,19,63,0,0
9,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,220420c.20m.asd                 No-OAR,0,19,64,0,0
10,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,Pickleweed_X157_Y148,0,19,65,0,0
11,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,Pickleweed_X166_Y88,0,19,66,0,0
12,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,Pickleweed_X175_Y92,0,19,67,0,0
13,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,Pickleweed_X179_Y140,0,19,68,3,    0.002628
14,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,Pickleweed_X198_Y49,0,19,69,1,    0.000876
15,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,Uplands_X113_Y71,0,19,70,12,    0.010514
16,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420b.0m.asd                 No-OAR,Uplands_X188_Y50,0,19,71,1,    0.000876
17,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,220420a.13m.asd                 No-OAR,0,20,56,0,0
18,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,220420a.15m.asd                 No-OAR,0,20,57,0,0
19,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,220420a.16m.asd                 No-OAR,0,20,58,0,0
20,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,220420b.20m.asd                 No-OAR,0,20,59,0,0
21,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,220420b.20m.asd                 No-OAR,0,20,60,0,0
22,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,220420b.24m.asd                 No-OAR,0,20,61,0,0
23,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,220420b.28m.asd                 No-OAR,0,20,62,0,0
24,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,220420b.28m.asd                 No-OAR,0,20,63,0,0
25,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,220420c.20m.asd                 No-OAR,0,20,64,0,0
26,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,Pickleweed_X157_Y148,0,20,65,0,0
27,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,Pickleweed_X166_Y88,0,20,66,0,0
28,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,Pickleweed_X175_Y92,0,20,67,0,0
29,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,Pickleweed_X179_Y140,0,20,68,0,0
30,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,Pickleweed_X198_Y49,0,20,69,0,0
31,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,Uplands_X113_Y71,0,20,70,0,0
32,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.13m.asd                 No-OAR,Uplands_X188_Y50,0,20,71,0,0
33,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420a.13m.asd                 No-OAR,0,21,56,0,0
34,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420a.15m.asd                 No-OAR,0,21,57,0,0
35,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420a.16m.asd                 No-OAR,0,21,58,0,0
36,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420b.20m.asd                 No-OAR,0,21,59,0,0
37,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420b.20m.asd                 No-OAR,0,21,60,0,0
38,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420b.24m.asd                 No-OAR,0,21,61,0,0
39,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420b.28m.asd                 No-OAR,0,21,62,0,0
40,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420b.28m.asd                 No-OAR,0,21,63,0,0
